epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,279.046,0.7067,1.12098,0.54791,1.14162,0.88563,0.89636,0.93028,0.78205,0.89957,0.90032,0.9429,0.77509,0.65973,1.11351,0.53259,1.1215,0.000743468,0.000743468,0.000743468
104,281.787,0.75966,1.30853,0.58711,1.18991,0.88601,0.89389,0.9293,0.78154,0.90079,0.90508,0.9457,0.7619,0.67568,1.16861,0.53863,1.12574,0.000738913,0.000738913,0.000738913
105,284.535,0.78915,1.43735,0.5823,1.21817,0.88086,0.90675,0.93053,0.78569,0.89352,0.91961,0.94853,0.76791,0.6584,1.14897,0.53367,1.12226,0.000734332,0.000734332,0.000734332
106,287.383,0.76304,1.37573,0.5585,1.19892,0.86985,0.90259,0.9332,0.78998,0.88225,0.91545,0.94793,0.77409,0.63308,1.15086,0.53947,1.10912,0.000729725,0.000729725,0.000729725
107,290.827,0.79462,1.3628,0.57295,1.21838,0.90387,0.89068,0.94127,0.79328,0.90741,0.89389,0.94262,0.76516,0.63154,1.18857,0.53036,1.10073,0.000725094,0.000725094,0.000725094
108,293.594,0.75357,1.29558,0.57146,1.16939,0.89902,0.88746,0.93243,0.77534,0.90246,0.89068,0.93753,0.7627,0.67339,1.21412,0.53635,1.11725,0.000720439,0.000720439,0.000720439
109,296.26,0.70314,1.17281,0.51644,1.12502,0.88425,0.90032,0.93128,0.76645,0.88741,0.90354,0.93592,0.75807,0.67801,1.21654,0.54085,1.11642,0.000715761,0.000715761,0.000715761
110,298.898,0.73655,1.25114,0.54361,1.14898,0.88418,0.86817,0.92677,0.77041,0.89073,0.8746,0.93498,0.7497,0.66366,1.20137,0.54249,1.11177,0.000711059,0.000711059,0.000711059
111,301.881,0.82766,1.50372,0.61586,1.20739,0.90392,0.83601,0.92037,0.76557,0.91256,0.83897,0.92789,0.75328,0.65287,1.1921,0.55389,1.10479,0.000706335,0.000706335,0.000706335
112,304.505,0.74537,1.30723,0.58563,1.16064,0.85537,0.88103,0.92081,0.77033,0.86162,0.88746,0.9256,0.75778,0.65555,1.16729,0.54538,1.10117,0.000701588,0.000701588,0.000701588
